Genre,year,sum
Calming Instrumental,2017,46.40000000000001
Canadian Contemporary R&b,2013,1069.2499999999998
Canadian Contemporary R&b,2015,381804.50000000006
Canadian Contemporary R&b,2016,2577633.3500000006
Canadian Contemporary R&b,2017,46397.2
Canadian Contemporary R&b,2018,1114522.15
Canadian Contemporary R&b,2019,931643.3499999999
Canadian Contemporary R&b,2020,2801305.1500000004
Canadian Country,1997,15593.449999999992
Canadian Country,2017,110.40000000000002
Canadian Electronic,2016,3730.400000000001
Canadian Electronic,2017,13.6
Canadian Electropop,2017,638.4000000000001
Canadian Electropop,2019,342.8
Canadian Folk,2017,824.8000000000001
Canadian Folk,2018,8.0
Canadian Hip Hop,2010,882.6
Canadian Hip Hop,2011,314.40000000000003
Canadian Hip Hop,2013,92.0
Canadian Hip Hop,2015,16262.449999999999
Canadian Hip Hop,2016,1177916.1
Canadian Hip Hop,2017,1939124.0499999998
Canadian Hip Hop,2018,4896805.999999999
Canadian Hip Hop,2019,1405533.9000000001
Canadian Hip Hop,2020,1892910.0499999996
Canadian Indie,1989,1296.3
Canadian Indie,1991,965.7
Canadian Indie,1992,1203.55
Canadian Indie,1994,198.55
Canadian Indie,1996,651.25
Canadian Indie,1998,847.8
Canadian Indie,2000,104.8
Canadian Indie,2002,56.0
Canadian Indie,2016,13830.400000000005
Canadian Indie,2017,52.0
Canadian Indie,2018,36.0
Canadian Latin,2006,12975.050000000001
Canadian Pop,2002,910.4
Canadian Pop,2010,170.10000000000002
Canadian Pop,2011,200491.9
Canadian Pop,2012,560.05
Canadian Pop,2015,635127.5
Canadian Pop,2016,6638.499999999999
Canadian Pop,2017,2565155.95
Canadian Pop,2018,1167514.0999999999
Canadian Pop,2019,3825351.350000001
Canadian Pop,2020,1584510.4000000004
Canadian Post-hardcore,2019,60.0
Canadian Rock,2015,5017.000000000001
Canadian Rock,2016,3022.400000000001
Canadian Rock,2018,26.4
Canadian Rock,2019,1.6
Canadian Singer-songwriter,1971,153.60000000000002
Candy Pop,2007,67.2
Candy Pop,2012,145.7
Candy Pop,2013,875.7500000000001
Candy Pop,2017,41584.4
Cantautor,2017,101.60000000000001
Ccm,2018,64932.49999999999
Celtic,1988,125129.24999999996
Celtic,1993,24.8
Celtic,1994,14.4
Celtic,1995,89.60000000000002
Celtic,2007,397.0
Celtic,2008,40.8
Celtic,2010,221.0
Celtic Rock,2008,126162.15
Celtic Rock,2012,2941.2000000000003
Celtic Rock,2014,269.3
Celtic Rock,2017,123940.3
Celtic Rock,2019,26756.099999999995
Chamber Pop,2016,8.8
Chamber Psych,2020,503.65
Channel Islands Indie,2017,513.35
Channel Islands Indie,2018,64.0
Channel Pop,2013,64.0
Channel Pop,2016,207.65
Channel Pop,2018,410.90000000000015
Chanson,2014,271.05
Chicago Drill,2018,214.40000000000003
Chicago Drill,2020,11304.800000000001
Chicago Rap,2005,39239.749999999985
Chicago Rap,2007,61998.05
Chicago Rap,2010,243.20000000000002
Chicago Rap,2013,496.8
Chicago Rap,2016,75453.7
Chicago Rap,2017,702.4000000000001
Chicago Rap,2018,2593412.4499999997
Chicago Rap,2019,1168212.55
Chicago Rap,2020,1033764.7
Chicano Rap,2003,10.4
Chicano Rap,2016,120275.30000000002
Chicano Rap,2017,45602.700000000004
Chicano Rap,2018,549.8
Chilean Indie,2018,4398.399999999998
Chilean Rock,2015,16.0
Chill R&b,2018,128.8
Chillstep,2018,8.8
Chillwave,2014,1148.8000000000004
Chillwave,2017,168.0
Chillwave,2018,3.2
Chinese Electropop,2019,2703.55
Chinese Electropop,2020,3048.6000000000004
Chinese Hip Hop,2017,528.0
Chinese Hip Hop,2018,1789.25
Chinese Idol Pop,2018,154.95
Chinese Indie,2016,730.4
Chinese Indie,2017,104.8
Chinese Indie,2019,4083.55
Chinese R&b,2020,86603.54999999993
Christlicher Rap,2017,396.0
Christlicher Rap,2018,4492.099999999999
Christmas Instrumental,2016,3345.4500000000003
Classic Country Pop,1974,94.4
Classic Country Pop,2016,3915.8
Classic Danish Pop,2019,6480.8
Classic Malaysian Pop,2020,377.60000000000014
Classic Norwegian Pop,2010,9471.45
Classic Norwegian Pop,2017,3350.5
Classic Norwegian Pop,2018,585.6
Classic Norwegian Pop,2020,174.25
Classic Nz Pop,1980,16.0
Classic Opm,2002,31.20000000000001
Classic Opm,2013,24.8
Classic Rock,1972,35.2
Classic Rock,1977,16091.35
Classic Rock,1984,677.3500000000001
Classic Rock,1986,3572.350000000001
Classic Rock,2009,1399.6499999999996
Classic Rock,2018,13248.900000000003
Classic Rock,2019,316.8
Classic Rock,2020,2491.8500000000004
Classic Soul,1965,1276.65
Classic Soul,1967,14673.2
Classic Soul,1968,14028.9
Classic Soul,1970,1452.9
Classic Soul,1973,84.8
Classic Soul,1982,90.4
Classic Soul,1995,264.8
Classic Soul,2005,234.40000000000003
Classic Soul,2015,236.00000000000006
Classic Soul,2018,244.8
Classic Swedish Pop,2012,358.4
Classic Swedish Pop,2014,98.4
Classic Swedish Pop,2016,585.6
Classic Swedish Pop,2017,672.2
Classic Swedish Pop,2018,926.75
Classic Swedish Pop,2019,15758.949999999997
Classic Swedish Pop,2020,20907.400000000005
Classic Uk Pop,1974,24.0
Classic Uk Pop,1975,534.75
Classic Uk Pop,1990,8113.75
Classic Uk Pop,1991,88.00000000000003
Classic Uk Pop,2005,2947.25
Classic Uk Pop,2007,22835.85
Cologne Indie,2019,31.20000000000001
Colombian Hip Hop,2019,26.4
Colombian Pop,2005,10913.550000000001
Colombian Pop,2017,11227.35
Colombian Pop,2018,4870.6
Colombian Pop,2019,257494.10000000003
Comedy Rap,2018,513298.19999999995
Comedy Rap,2019,135118.19999999998
Complextro,2012,2.4000000000000004
Complextro,2017,1256849.2
Complextro,2018,446960.44999999995
Complextro,2019,185010.25
Complextro,2020,1104.9500000000003
Conscious Hip Hop,1992,29.6
Conscious Hip Hop,1998,8.8
Conscious Hip Hop,2014,10003.349999999997
Conscious Hip Hop,2015,4215.5
Conscious Hip Hop,2016,40718.19999999998
Conscious Hip Hop,2017,3014805.0500000017
Conscious Hip Hop,2018,724171.4
Conscious Hip Hop,2019,543788.0500000003
Conscious Hip Hop,2020,35139.0
Contemporary Country,2008,1796.1500000000005
Contemporary Country,2010,4.800000000000002
Contemporary Country,2011,27.20000000000001
Contemporary Country,2012,837.9499999999997
Contemporary Country,2013,3426.700000000001
Contemporary Country,2014,102.4
Contemporary Country,2015,31186.800000000003
Contemporary Country,2016,50573.75000000001
Contemporary Country,2017,436534.80000000005
Contemporary Country,2018,281995.04999999993
Contemporary Country,2019,148270.35
Contemporary Country,2020,77193.65
Contemporary Vocal Jazz,2012,28.0
Contemporary Vocal Jazz,2014,215.2
Contemporary Vocal Jazz,2017,663.0
Country,2000,3.2
Country,2001,192.00000000000006
Country,2018,7915.950000000001
Country Rap,2019,1053518.4499999997
Country Rock,1996,48.8
Crunk,2018,345.6
Czech Pop,2018,24047.2
Czech Pop,2019,2252.65
Dakke Dak,2017,42715.9
Dakke Dak,2018,17074.1
Dakke Dak,2019,13352.4
Dakke Dak,2020,18300.299999999996
Dalarna Indie,2019,54.40000000000001
Dance Pop,1983,1889.8500000000001
Dance Pop,1984,555467.4999999998
